Company,ATS,ATS Identifier,JobCount
Cisco India,workday,cisco.wd5.myworkdayjobs.com/Cisco_Careers,1052
VMware India,workday,broadcom.wd1.myworkdayjobs.com/External_Career,358
Samsung R&D India,workday,sec.wd3.myworkdayjobs.com/Samsung_Careers,599
Siemens Healthineers India,workday,onehealthineers.wd3.myworkdayjobs.com/SHSJB,456
GE Healthcare India,workday,gehc.wd5.myworkdayjobs.com/GEHC_ExternalSite,957
Philips Innovation Campus,workday,philips.wd3.myworkdayjobs.com/jobs-and-careers,991
ServiceNow India,smartrecruiters,ServiceNow,448
Salesforce India,workday,salesforce.wd12.myworkdayjobs.com/External_Career_Site,1489
Composio,ashby,composio,31
