Job ID,Title,Company,Experience,Salary,Location,Skills,Description,URL
020826003360,Freelance Software Developer,Dotch Endeavours,2-7 Yrs,6-16 Lacs PA,Remote,"Freelancing,Software Engineering,Artificial Intelligence,Software Design,Design,Software,Software development,Development",About the Role . We are looking for skilled freelance software professionals to join our verified talent network for long-term client projects<br><br>Remote freelance opportunities <br><br>Only shortlisted candidates will be contacted for the technical screening process<br><br> 1+ years of relevant experience <br><br>Good communication skills <br><br>Willingness to undergo a technical screening,https://www.naukri.com/job-listings-freelance-software-developer-dotch-endeavours-bengaluru-2-to-7-years-020826003360
030826008488,ROC- Resource Professional,Experis,2-7 Yrs,7-10 Lacs PA,Remote,"MSP,Beeline,Fieldglass,Contingent Workforce,ROC,Offboarding,US Onboarding,HR Operations",Bachelors degree in business or related field or relevant business experience<br><br>Experience in Customer Service Environment <br><br>Experience working with SOPs <br><br>Experience working with Global teams,https://www.naukri.com/job-listings-roc-resource-professional-experis-india-2-to-7-years-030826008488
